reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
408,408,1.0,747,747,747.0,0,0.0,False
409,409,1.0,1028,1028,1028.0,0,0.0,False
410,410,1.0,562,562,562.0,0,0.0,False
411,411,1.0,937,937,937.0,0,0.0,False
412,412,1.0,715,715,715.0,0,0.0,False
413,413,1.0,214,214,214.0,0,0.0,False
414,414,1.0,674,674,674.0,0,0.0,False
415,415,1.0,248,248,248.0,0,0.0,False
416,416,1.0,833,833,833.0,0,0.0,False
417,417,1.0,866,866,866.0,0,0.0,False
418,418,1.0,939,939,939.0,0,0.0,False
419,419,1.0,686,686,686.0,0,0.0,False
420,420,1.0,779,779,779.0,0,0.0,False
421,421,1.0,340,340,340.0,0,0.0,False
422,422,1.0,550,550,550.0,0,0.0,False
423,423,1.0,700,700,700.0,0,0.0,False
424,424,1.0,1458,1458,1458.0,0,0.0,False
425,425,1.0,1173,1173,1173.0,0,0.0,False
426,426,1.0,747,747,747.0,0,0.0,False
427,427,1.0,863,863,863.0,0,0.0,False
428,428,1.0,1553,1553,1553.0,0,0.0,False
429,429,1.0,899,899,899.0,0,0.0,False
430,430,1.0,704,704,704.0,0,0.0,False
431,431,1.0,594,594,594.0,0,0.0,False
432,432,1.0,349,349,349.0,0,0.0,False
433,433,1.0,671,671,671.0,0,0.0,False
434,434,1.0,569,569,569.0,0,0.0,False
435,435,1.0,726,726,726.0,0,0.0,False
436,436,1.0,935,935,935.0,0,0.0,False
437,437,1.0,761,761,761.0,0,0.0,False
438,438,1.0,418,418,418.0,0,0.0,False
439,439,1.0,438,438,438.0,0,0.0,False
440,440,1.0,1132,1132,1132.0,0,0.0,False
441,441,1.0,528,528,528.0,0,0.0,False
442,442,1.0,966,966,966.0,0,0.0,False
443,443,1.0,1420,1420,1420.0,0,0.0,False
444,444,1.0,385,385,385.0,0,0.0,False
445,445,1.0,702,702,702.0,0,0.0,False
446,446,1.0,534,534,534.0,0,0.0,False
447,447,1.0,925,925,925.0,0,0.0,False
448,448,1.0,330,330,330.0,0,0.0,False
449,449,1.0,1716,1716,1716.0,0,0.0,False
450,450,1.0,1055,1055,1055.0,0,0.0,False
451,451,1.0,411,411,411.0,0,0.0,False
452,452,1.0,733,733,733.0,0,0.0,False
453,453,1.0,314,314,314.0,0,0.0,False
454,454,1.0,293,293,293.0,0,0.0,False
455,455,1.0,1196,1196,1196.0,0,0.0,False
456,456,1.0,282,282,282.0,0,0.0,False
457,457,1.0,567,567,567.0,0,0.0,False
458,458,1.0,318,318,318.0,0,0.0,False
459,459,1.0,844,844,844.0,0,0.0,False
460,460,1.0,1475,1475,1475.0,0,0.0,False
461,461,1.0,660,660,660.0,0,0.0,False
462,462,1.0,223,223,223.0,0,0.0,False
463,463,1.0,607,607,607.0,0,0.0,False
464,464,1.0,1482,1482,1482.0,0,0.0,False
465,465,1.0,1017,1017,1017.0,0,0.0,False
466,466,1.0,385,385,385.0,0,0.0,False
467,467,1.0,819,819,819.0,0,0.0,False
468,468,1.0,415,415,415.0,0,0.0,False
469,469,1.0,892,892,892.0,0,0.0,False
470,470,1.0,1898,1898,1898.0,0,0.0,False
471,471,1.0,521,521,521.0,0,0.0,False
472,472,1.0,1015,1015,1015.0,0,0.0,False
473,473,1.0,525,525,525.0,0,0.0,False
474,474,1.0,649,649,649.0,0,0.0,False
475,475,1.0,831,831,831.0,0,0.0,False
476,476,1.0,1138,1138,1138.0,0,0.0,False
477,477,1.0,774,774,774.0,0,0.0,False
478,478,1.0,449,449,449.0,0,0.0,False
479,479,1.0,873,873,873.0,0,0.0,False
480,480,1.0,1422,1422,1422.0,0,0.0,False
481,481,1.0,639,639,639.0,0,0.0,False
482,482,1.0,384,384,384.0,0,0.0,False
483,483,1.0,597,597,597.0,0,0.0,False
484,484,1.0,327,327,327.0,0,0.0,False
485,485,1.0,837,837,837.0,0,0.0,False
486,486,1.0,908,908,908.0,0,0.0,False
487,487,1.0,537,537,537.0,0,0.0,False
488,488,1.0,2230,2230,2230.0,0,0.0,False
489,489,1.0,692,692,692.0,0,0.0,False
490,490,1.0,368,368,368.0,0,0.0,False
491,491,1.0,265,265,265.0,0,0.0,False
492,492,1.0,1097,1097,1097.0,0,0.0,False
493,493,1.0,1541,1541,1541.0,0,0.0,False
494,494,1.0,1684,1684,1684.0,0,0.0,False
495,495,1.0,1239,1239,1239.0,0,0.0,False
496,496,1.0,769,769,769.0,0,0.0,False
497,497,1.0,717,717,717.0,0,0.0,False
498,498,1.0,999,999,999.0,0,0.0,False
499,499,1.0,756,756,756.0,0,0.0,False
500,500,1.0,1213,1213,1213.0,0,0.0,False
501,501,1.0,865,865,865.0,0,0.0,False
502,502,1.0,411,411,411.0,0,0.0,False
503,503,1.0,967,967,967.0,0,0.0,False
504,504,1.0,1324,1324,1324.0,0,0.0,False
505,505,1.0,318,318,318.0,0,0.0,False
506,506,1.0,517,517,517.0,0,0.0,False
507,507,1.0,357,357,357.0,0,0.0,False
508,508,1.0,484,484,484.0,0,0.0,False
509,509,1.0,973,973,973.0,0,0.0,False
510,510,1.0,843,843,843.0,0,0.0,False
511,511,1.0,461,461,461.0,0,0.0,False
512,512,1.0,314,314,314.0,0,0.0,False
513,513,1.0,235,235,235.0,0,0.0,False
514,514,1.0,218,218,218.0,0,0.0,False
515,515,1.0,438,438,438.0,0,0.0,False
516,516,1.0,775,775,775.0,0,0.0,False
517,517,1.0,321,321,321.0,0,0.0,False
518,518,1.0,791,791,791.0,0,0.0,False
519,519,1.0,563,563,563.0,0,0.0,False
520,520,1.0,819,819,819.0,0,0.0,False
521,521,1.0,687,687,687.0,0,0.0,False
522,522,1.0,1730,1730,1730.0,0,0.0,False
523,523,1.0,882,882,882.0,0,0.0,False
524,524,1.0,1026,1026,1026.0,0,0.0,False
525,525,1.0,584,584,584.0,0,0.0,False
526,526,1.0,893,893,893.0,0,0.0,False
527,527,1.0,765,765,765.0,0,0.0,False
528,528,1.0,691,691,691.0,0,0.0,False
529,529,1.0,375,375,375.0,0,0.0,False
530,530,1.0,480,480,480.0,0,0.0,False
531,531,1.0,747,747,747.0,0,0.0,False
532,532,1.0,682,682,682.0,0,0.0,False
533,533,1.0,672,672,672.0,0,0.0,False
534,534,1.0,992,992,992.0,0,0.0,False
535,535,1.0,1066,1066,1066.0,0,0.0,False
536,536,1.0,742,742,742.0,0,0.0,False
537,537,1.0,1101,1101,1101.0,0,0.0,False
538,538,1.0,813,813,813.0,0,0.0,False
539,539,1.0,633,633,633.0,0,0.0,False
540,540,1.0,327,327,327.0,0,0.0,False
541,541,1.0,593,593,593.0,0,0.0,False
542,542,1.0,642,642,642.0,0,0.0,False
543,543,1.0,694,694,694.0,0,0.0,False
544,544,1.0,717,717,717.0,0,0.0,False
545,545,1.0,790,790,790.0,0,0.0,False
546,546,1.0,941,941,941.0,0,0.0,False
547,547,1.0,618,618,618.0,0,0.0,False
548,548,1.0,465,465,465.0,0,0.0,False
549,549,1.0,936,936,936.0,0,0.0,False
550,550,1.0,671,671,671.0,0,0.0,False
551,551,1.0,516,516,516.0,0,0.0,False
552,552,1.0,761,761,761.0,0,0.0,False
553,553,1.0,609,609,609.0,0,0.0,False
554,554,1.0,928,928,928.0,0,0.0,False
555,555,1.0,649,649,649.0,0,0.0,False
556,556,1.0,742,742,742.0,0,0.0,False
557,557,1.0,1195,1195,1195.0,0,0.0,False
