label,voxel_count,volume_um3,centroid_z_px,centroid_y_px,centroid_x_px,centroid_z_um,centroid_y_um,centroid_x_um,bbox_z0_px,bbox_y0_px,bbox_x0_px,bbox_z1_px,bbox_y1_px,bbox_x1_px
378,205,101.82467478643937,3.7219512195121953,91.55609756097562,10.482926829268292,5.582926829268293,52.68551492904797,6.032349703368537,2,85,7,6,98,16
379,245,121.69290401306168,4.077551020408163,92.62040816326531,20.76734693877551,6.116326530612245,53.297967333856214,11.95046967189584,2,87,16,7,100,26
380,248,123.18302120505835,3.931451612903226,94.48790322580645,49.91935483870968,5.897177419354839,54.3726083639843,28.725852069565388,2,89,45,7,101,56
381,349,173.3503000022797,3.507163323782235,99.36676217765043,66.55587392550143,5.260744985673353,57.180124225753154,38.29925676968177,2,90,62,6,111,72
387,321,159.44253954364407,4.196261682242991,100.31464174454828,12.909657320872274,6.294392523364486,57.725576952585214,7.4288000649518064,2,96,8,7,106,19
388,389,193.218529228902,3.526992287917738,103.11825192802057,86.30334190231362,5.290488431876607,59.338900915832845,49.66284200998031,2,96,82,6,112,93
390,295,146.52819054633957,3.976271186440678,96.71186440677967,41.76610169491526,5.964406779661017,55.65237610336128,24.034101856625107,2,89,37,7,104,47
392,205,101.82467478643937,3.658536585365854,100.27317073170731,173.09268292682927,5.487804878048781,57.7017126581869,99.60534987172134,2,95,168,6,105,179
393,287,142.55454470101512,3.494773519163763,105.12891986062718,217.30313588850174,5.2421602787456445,60.49593008377169,125.04604188003796,2,99,213,6,112,223
397,268,133.11713581836952,4.33955223880597,108.05970149253731,24.95149253731343,6.509328358208955,62.1824342439009,14.35821608387311,2,99,22,7,118,29
398,360,178.81406303960085,4.319444444444445,108.95,54.647222222222226,6.479166666666667,62.694752227692156,31.44648056130202,2,99,50,7,121,61
399,256,127.15666705038282,3.12109375,110.546875,180.78125,4.681640625,63.61366624755077,104.02969872567667,2,102,176,6,118,187
400,267,132.62043008770397,3.157303370786517,109.86142322097378,206.07116104868913,4.735955056179775,63.2192263260264,118.58265611032962,2,102,202,6,120,211
401,604,300.01026132199695,4.122516556291391,108.33940397350993,42.91721854304636,6.183774834437086,62.3433876880684,24.69650649709047,2,98,35,7,120,51
402,530,263.25403725274566,3.5150943396226415,109.06603773584905,108.37169811320754,5.272641509433962,62.761525583342625,62.36197119506012,2,102,101,7,118,118
403,473,234.9418106048089,3.241014799154334,111.95771670190275,160.90274841437633,4.861522198731501,64.42552830292745,92.59071082692988,2,103,152,6,120,170
404,337,167.389831234293,3.477744807121662,109.00890207715133,188.75370919881306,5.216617210682493,62.728647144008804,108.61741193462544,2,102,184,6,117,198
405,303,150.50183639166406,3.782178217821782,111.45544554455445,79.34323432343234,5.673267326732673,64.1364987869929,45.65768165994778,2,105,73,6,119,85
407,388,192.72182349823646,3.286082474226804,114.38144329896907,213.74484536082474,4.929123711340206,65.82025008788146,122.99844075120039,2,106,209,6,125,221
412,283,140.56772177835288,3.734982332155477,110.1660777385159,136.91166077738515,5.602473498233215,63.39453829933847,78.78515511262047,2,105,132,6,117,143
413,226,112.25549513041608,2.9911504424778763,116.21681415929204,223.1637168141593,4.486725663716815,66.87640540072107,128.4184849185367,2,109,220,5,125,228
418,291,144.54136762367736,3.759450171821306,115.90721649484536,69.52920962199313,5.639175257731958,66.69824891735477,40.010248461111786,2,110,63,7,122,77
419,423,210.106524071531,3.7210401891252953,118.39952718676123,115.19621749408984,5.581560283687943,68.13243708903072,66.28910797025515,2,111,106,7,126,122
